trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.46, 'e': 1.0}",20,0,-55.39088416582157,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
2,False,"{'a': 0.42000000000000004, 'e': 0.951229424500714}",20,0,-110.68216756173446,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
3,False,"{'a': 0.38000000000000006, 'e': 0.9048374180359595}",20,0,-34.39754015671935,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
4,False,"{'a': 0.3400000000000001, 'e': 0.8607079764250578}",20,0,-145.5483377916949,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",1
5,False,"{'a': 0.3000000000000001, 'e': 0.8187307530779818}",20,0,-27.212062223901583,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
6,False,"{'a': 0.2600000000000001, 'e': 0.7788007830714049}",20,0,-26.029659413794597,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
7,False,"{'a': 0.2200000000000001, 'e': 0.7408182206817179}",30,8,-56.42490570352544,"{0: 16, 1: 2, 2: 3, 3: 0, 4: 1}",1
8,False,"{'a': 0.1800000000000001, 'e': 0.7046880897187134}",25,0,-165.75339865340055,"{0: 15, 1: 0, 2: 6, 3: 2, 4: 2}",0
9,False,"{'a': 0.1800000000000001, 'e': 0.6703200460356393}",25,0,-118.77728004182848,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
10,False,"{'a': 0.1800000000000001, 'e': 0.6376281516217733}",20,0,-72.30125289887438,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
11,False,"{'a': 0.1800000000000001, 'e': 0.6065306597126334}",20,0,-135.10085918475275,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 3}",0
12,False,"{'a': 0.1800000000000001, 'e': 0.5769498103804866}",35,24,10.31347607381857,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
