trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9099999999999999, 'e': 1.0}",20,0,-41.28800592819854,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
2,False,"{'a': 0.8699999999999999, 'e': 0.951229424500714}",25,0,-100.04393434053812,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
3,False,"{'a': 0.8299999999999998, 'e': 0.9048374180359595}",20,14,-12.488402025027032,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
4,False,"{'a': 0.7899999999999998, 'e': 0.8607079764250578}",25,0,-81.73891594042139,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
5,False,"{'a': 0.7499999999999998, 'e': 0.8187307530779818}",20,0,-42.72615088236134,"{0: 15, 1: 2, 2: 1, 3: 2, 4: 0}",0
6,False,"{'a': 0.7099999999999997, 'e': 0.7788007830714049}",30,0,-135.06102239377014,"{0: 17, 1: 5, 2: 5, 3: 2, 4: 1}",0
7,False,"{'a': 0.6699999999999997, 'e': 0.7408182206817179}",25,0,-108.95939213683258,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
8,False,"{'a': 0.6299999999999997, 'e': 0.7046880897187134}",30,0,-154.623413870075,"{0: 18, 1: 4, 2: 4, 3: 2, 4: 2}",0
9,False,"{'a': 0.5899999999999996, 'e': 0.6703200460356393}",25,0,-52.2547474539391,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
10,False,"{'a': 0.5499999999999996, 'e': 0.6376281516217733}",20,0,-41.61777590062088,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
11,False,"{'a': 0.5099999999999996, 'e': 0.6065306597126334}",30,0,-15.848611863955481,"{0: 26, 1: 0, 2: 3, 3: 1, 4: 0}",0
12,False,"{'a': 0.4699999999999996, 'e': 0.5769498103804866}",25,0,-140.29170899987164,"{0: 17, 1: 0, 2: 4, 3: 2, 4: 2}",0
13,False,"{'a': 0.4299999999999996, 'e': 0.5488116360940264}",25,16,-4.920225124466478,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
14,False,"{'a': 0.3899999999999996, 'e': 0.522045776761016}",25,0,-39.23160892836712,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
15,False,"{'a': 0.34999999999999964, 'e': 0.49658530379140947}",30,9,-55.41631513823487,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 1}",1
16,False,"{'a': 0.30999999999999966, 'e': 0.4723665527410147}",20,0,-79.44303624871934,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
17,False,"{'a': 0.2699999999999997, 'e': 0.44932896411722156}",25,3,-34.9055546789646,"{0: 19, 1: 1, 2: 0, 3: 1, 4: 1}",1
18,False,"{'a': 0.22999999999999968, 'e': 0.42741493194872665}",25,0,-87.2663504425675,"{0: 19, 1: 1, 2: 1, 3: 3, 4: 1}",0
19,False,"{'a': 0.18999999999999967, 'e': 0.4065696597405991}",25,11,20.261725290636562,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.18999999999999967, 'e': 0.3867410234545012}",30,13,1.1113311378874868,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
21,False,"{'a': 0.18999999999999967, 'e': 0.36787944117144233}",20,0,-84.62467008517149,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
22,False,"{'a': 0.18999999999999967, 'e': 0.3499377491111553}",30,0,-24.56132213581056,"{0: 27, 1: 1, 2: 1, 3: 0, 4: 1}",0
