trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.46, 'e': 1.0}",20,-9,-262.5751673406722,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 5}",0
2,False,"{'a': 0.42000000000000004, 'e': 0.951229424500714}",30,-72,-454.75293092774496,"{0: 67, 1: 10, 2: 14, 3: 4, 4: 7}",0
3,False,"{'a': 0.38000000000000006, 'e': 0.9048374180359595}",25,-100,-659.314953527847,"{0: 72, 1: 11, 2: 27, 3: 9, 4: 6}",0
4,False,"{'a': 0.3400000000000001, 'e': 0.8607079764250578}",25,-4,-94.17070054142388,"{0: 19, 1: 2, 2: 6, 3: 1, 4: 1}",0
5,False,"{'a': 0.3000000000000001, 'e': 0.8187307530779818}",30,-100,-504.6773699730863,"{0: 76, 1: 17, 2: 27, 3: 7, 4: 3}",0
6,False,"{'a': 0.2600000000000001, 'e': 0.7788007830714049}",20,-47,-455.53374048883046,"{0: 38, 1: 5, 2: 12, 3: 6, 4: 6}",0
7,False,"{'a': 0.2200000000000001, 'e': 0.7408182206817179}",20,-29,-151.76570095590182,"{0: 33, 1: 4, 2: 10, 3: 0, 4: 2}",0
8,False,"{'a': 0.1800000000000001, 'e': 0.7046880897187134}",25,-100,-477.1117179892098,"{0: 83, 1: 11, 2: 20, 3: 5, 4: 6}",0
9,False,"{'a': 0.1800000000000001, 'e': 0.6703200460356393}",30,-9,-303.5056769506978,"{0: 22, 1: 4, 2: 5, 3: 3, 4: 5}",0
10,False,"{'a': 0.1800000000000001, 'e': 0.6376281516217733}",25,-100,-518.4714694759056,"{0: 83, 1: 11, 2: 20, 3: 3, 4: 8}",0
11,False,"{'a': 0.1800000000000001, 'e': 0.6065306597126334}",25,-100,-818.6274586056765,"{0: 68, 1: 17, 2: 24, 3: 3, 4: 13}",0
12,False,"{'a': 0.1800000000000001, 'e': 0.5769498103804866}",20,-100,-589.6173551959696,"{0: 75, 1: 11, 2: 18, 3: 9, 4: 7}",0
13,False,"{'a': 0.1800000000000001, 'e': 0.5488116360940264}",30,2,-116.29460266536054,"{0: 15, 1: 4, 2: 6, 3: 3, 4: 0}",1
14,False,"{'a': 0.1800000000000001, 'e': 0.522045776761016}",35,-93,-521.4300371372084,"{0: 83, 1: 12, 2: 18, 3: 10, 4: 5}",0
15,False,"{'a': 0.1800000000000001, 'e': 0.49658530379140947}",25,-100,-623.7699754418678,"{0: 69, 1: 22, 2: 21, 3: 6, 4: 7}",0
16,False,"{'a': 0.1800000000000001, 'e': 0.4723665527410147}",25,-100,-726.5266701271839,"{0: 76, 1: 10, 2: 25, 3: 1, 4: 13}",0
17,False,"{'a': 0.1800000000000001, 'e': 0.44932896411722156}",30,-69,-461.9891277532148,"{0: 56, 1: 11, 2: 23, 3: 5, 4: 4}",0
18,False,"{'a': 0.1800000000000001, 'e': 0.42741493194872665}",20,-9,-116.59664536526282,"{0: 21, 1: 0, 2: 5, 3: 1, 4: 2}",0
19,False,"{'a': 0.1800000000000001, 'e': 0.4065696597405991}",25,-15,-274.16393623887717,"{0: 20, 1: 6, 2: 7, 3: 4, 4: 3}",0
20,False,"{'a': 0.1800000000000001, 'e': 0.3867410234545012}",20,-100,-600.5681339318392,"{0: 76, 1: 4, 2: 29, 3: 2, 4: 9}",0
1,True,"{'a': 0, 'e': 0}",25,-15,-338.3938744293742,"{0: 22, 1: 4, 2: 6, 3: 1, 4: 7}",0
2,True,"{'a': 0, 'e': 0}",20,-100,-668.2465171051801,"{0: 70, 1: 12, 2: 23, 3: 6, 4: 9}",0
3,True,"{'a': 0, 'e': 0}",25,-100,-504.6229327838033,"{0: 80, 1: 9, 2: 27, 3: 3, 4: 6}",0
4,True,"{'a': 0, 'e': 0}",25,17,-8.90318766587553,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,-8,-185.14398675830893,"{0: 18, 1: 4, 2: 7, 3: 2, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",20,-65,-463.3673095934835,"{0: 52, 1: 7, 2: 16, 3: 3, 4: 7}",0
7,True,"{'a': 0, 'e': 0}",20,-88,-537.1035843806236,"{0: 65, 1: 6, 2: 26, 3: 5, 4: 6}",0
8,True,"{'a': 0, 'e': 0}",20,3,-114.11455952373761,"{0: 10, 1: 0, 2: 3, 3: 3, 4: 1}",1
9,True,"{'a': 0, 'e': 0}",25,-100,-724.9296123149657,"{0: 71, 1: 10, 2: 27, 3: 9, 4: 8}",0
10,True,"{'a': 0, 'e': 0}",20,13,-53.36231183091169,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 1}",1
